kind	class	method	param	index	uri	field
METHOD	jadx.core.dex.nodes.ClassNode	initialLoad(jadx.api.plugins.input.data.IClassData)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	accessFlags
METHOD	jadx.core.dex.nodes.ClassNode	initialLoad(jadx.api.plugins.input.data.IClassData)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	interfaces
METHOD	jadx.core.dex.nodes.ClassNode	initialLoad(jadx.api.plugins.input.data.IClassData)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	fields
METHOD	jadx.core.dex.nodes.ClassNode	initialLoad(jadx.api.plugins.input.data.IClassData)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	methods
METHOD	jadx.core.dex.nodes.ClassNode	updateGenericClsData(@org.jetbrains.annotations.Nullable jadx.core.dex.instructions.args.ArgType,java.util.List<jadx.core.dex.instructions.args.ArgType>,java.util.List<jadx.core.dex.instructions.args.ArgType>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	interfaces
METHOD	jadx.core.dex.nodes.ClassNode	updateGenericClsData(@org.jetbrains.annotations.Nullable jadx.core.dex.instructions.args.ArgType,java.util.List<jadx.core.dex.instructions.args.ArgType>,java.util.List<jadx.core.dex.instructions.args.ArgType>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	generics
METHOD	jadx.core.dex.nodes.ClassNode	buildCache()	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	mthInfoMap
METHOD	jadx.core.dex.nodes.ClassNode	addField(jadx.core.dex.nodes.FieldNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	fields
METHOD	jadx.core.dex.nodes.ClassNode	updateParentClass()	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	parentClass
METHOD	jadx.core.dex.nodes.ClassNode	updateParentClass()	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	parentClass
METHOD	jadx.core.dex.nodes.ClassNode	addInnerClass(jadx.core.dex.nodes.ClassNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	innerClasses
METHOD	jadx.core.dex.nodes.ClassNode	addInlinedClass(jadx.core.dex.nodes.ClassNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	inlinedClasses
METHOD	jadx.core.dex.nodes.ClassNode	setAccessFlags(jadx.core.dex.info.AccessInfo)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	accessFlags
METHOD	jadx.core.dex.nodes.ClassNode	setState(jadx.core.dex.nodes.ProcessState)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	state
METHOD	jadx.core.dex.nodes.ClassNode	setLoadStage(jadx.core.dex.nodes.LoadStage)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	loadStage
METHOD	jadx.core.dex.nodes.ClassNode	setDependencies(java.util.List<jadx.core.dex.nodes.ClassNode>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	dependencies
METHOD	jadx.core.dex.nodes.ClassNode	removeDependency(jadx.core.dex.nodes.ClassNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	dependencies
METHOD	jadx.core.dex.nodes.ClassNode	setCodegenDeps(java.util.List<jadx.core.dex.nodes.ClassNode>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	codegenDeps
METHOD	jadx.core.dex.nodes.ClassNode	addCodegenDep(jadx.core.dex.nodes.ClassNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	codegenDeps
METHOD	jadx.core.dex.nodes.ClassNode	setUseIn(java.util.List<jadx.core.dex.nodes.ClassNode>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	useIn
METHOD	jadx.core.dex.nodes.ClassNode	setUseInMth(java.util.List<jadx.core.dex.nodes.MethodNode>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java	useInMth
METHOD	jadx.core.dex.attributes.AttrNode	unloadIfEmpty()	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/attributes/AttrNode.java	storage
METHOD	jadx.core.deobf.PackageNode	addInnerPackage(jadx.core.deobf.PackageNode)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/deobf/PackageNode.java	innerPackages
METHOD	jadx.core.dex.nodes.RootNode	loadClasses(java.util.List<jadx.api.plugins.input.data.ILoadResult>)	null	null	/private/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/RootNode.java	classes
