kind	class	method	param	index	uri
PARAMETER	jadx.core.dex.nodes.ClassNode	compareTo(@org.jetbrains.annotations.NotNull jadx.core.dex.nodes.ClassNode)	o	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/ClassNode.java
PARAMETER	jadx.core.dex.nodes.RootNode	resolveMethod(@org.jetbrains.annotations.NotNull jadx.core.dex.info.MethodInfo)	mth	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/RootNode.java
PARAMETER	jadx.core.dex.nodes.RootNode	deepResolveMethod(@org.jetbrains.annotations.NotNull jadx.core.dex.nodes.ClassNode,java.lang.String)	cls	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/RootNode.java
PARAMETER	jadx.core.dex.nodes.RootNode	deepResolveField(@org.jetbrains.annotations.NotNull jadx.core.dex.nodes.ClassNode,jadx.core.dex.info.FieldInfo)	cls	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/RootNode.java
METHOD	jadx.core.dex.info.ClassInfo	getPackage()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/info/ClassInfo.java
PARAMETER	jadx.core.dex.info.ClassInfo	compareTo(@org.jetbrains.annotations.NotNull jadx.core.dex.info.ClassInfo)	o	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/info/ClassInfo.java
PARAMETER	jadx.core.dex.instructions.args.ArgType	array(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.ArgType)	vtype	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/ArgType.java
PARAMETER	jadx.core.dex.instructions.args.ArgType	array(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.ArgType,int)	type	0	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/ArgType.java
METHOD	jadx.core.dex.nodes.MethodNode	getArgTypes()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
METHOD	jadx.core.dex.nodes.MethodNode	getReturnType()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
